(0,-0)	 	(0,0)
(0.276898,0.274279)	 	(0.276898,-0.274279)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(-0.200287,0.334345)	 	(-0.200287,-0.334345)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0.0472093,0.0833166)	 	(0.0472093,-0.0833166)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)

 
(-2.66225e-16,-1.06133e-16)	 	(-2.66225e-16,1.06133e-16)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(-7.41157e-17,9.89652e-17)	 	(-7.41157e-17,-9.89652e-17)
(0.260354,0.45206)	 	(0.260354,-0.45206)
(0.38137,-0.344799)	 	(0.38137,0.344799)
(0.0653362,-0.317946)	 	(0.0653362,0.317946)
(-2.08824e-17,5.15212e-17)	 	(-2.08824e-17,-5.15212e-17)
(-0.095753,-0.11029)	 	(-0.095753,0.11029)
(0.025784,0.031408)	 	(0.025784,-0.031408)
(0.0337955,0.305131)	 	(0.0337955,-0.305131)
(-4.23117e-17,-1.3816e-16)	 	(-4.23117e-17,1.3816e-16)
(-0.00649111,0.430332)	 	(-0.00649111,-0.430332)
(0.160638,0.121469)	 	(0.160638,-0.121469)
(-0.1226,-0.0110067)	 	(-0.1226,0.0110067)
(-3.1322e-17,-4.00106e-16)	 	(-3.1322e-17,4.00106e-16)
(-1.06476e-16,-2.9124e-17)	 	(-1.06476e-16,2.9124e-17)
(1.18504e-16,-3.07097e-18)	 	(1.18504e-16,3.07097e-18)
(-3.86486e-18,6.72118e-19)	 	(-3.86486e-18,-6.72118e-19)
(-2.18687e-16,3.72213e-17)	 	(-2.18687e-16,-3.72213e-17)
(3.82292e-19,3.37469e-19)	 	(3.82292e-19,-3.37469e-19)
(1.81902e-20,-6.86495e-21)	 	(1.81902e-20,6.86495e-21)
(4.76497e-22,3.94967e-22)	 	(4.76497e-22,-3.94967e-22)
(1.20872e-16,2.45578e-16)	 	(1.20872e-16,-2.45578e-16)
(-5.72735e-54,8.78718e-55)	 	(-5.72735e-54,-8.78718e-55)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(1.06981e-16,2.01507e-16)	 	(1.06981e-16,-2.01507e-16)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(1.44041e-16,-1.77151e-17)	 	(1.44041e-16,1.77151e-17)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(-7.32708e-17,1.50113e-16)	 	(-7.32708e-17,-1.50113e-16)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(2.13131e-16,1.06729e-16)	 	(2.13131e-16,-1.06729e-16)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(1.41476e-16,-1.32521e-16)	 	(1.41476e-16,1.32521e-16)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)

 
(-1.21598e-16,-7.92124e-17)	 	(-1.21598e-16,7.92124e-17)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(1.56154e-17,5.4078e-17)	 	(1.56154e-17,-5.4078e-17)
(-0.0375054,-0.43347)	 	(-0.0375054,0.43347)
(-0.0817352,0.0484321)	 	(-0.0817352,-0.0484321)
(-0.193694,-0.376391)	 	(-0.193694,0.376391)
(1.07235e-16,4.4672e-17)	 	(1.07235e-16,-4.4672e-17)
(-0.0870953,-0.454869)	 	(-0.0870953,0.454869)
(-0.331037,0.0851814)	 	(-0.331037,-0.0851814)
(-0.014447,0.270057)	 	(-0.014447,-0.270057)
(-2.08417e-17,6.31299e-17)	 	(-2.08417e-17,-6.31299e-17)
(-0.179144,0.268976)	 	(-0.179144,-0.268976)
(0.094274,0.000323431)	 	(0.094274,-0.000323431)
(-0.16856,0.27617)	 	(-0.16856,-0.27617)
(5.29522e-17,-2.21841e-17)	 	(5.29522e-17,2.21841e-17)
(1.57743e-16,-2.19627e-16)	 	(1.57743e-16,2.19627e-16)
(-1.69477e-16,-4.871e-17)	 	(-1.69477e-16,4.871e-17)
(1.53207e-17,-1.19957e-17)	 	(1.53207e-17,1.19957e-17)
(4.67339e-17,1.7136e-16)	 	(4.67339e-17,-1.7136e-16)
(-6.99603e-18,1.67699e-17)	 	(-6.99603e-18,-1.67699e-17)
(3.44649e-19,2.74916e-18)	 	(3.44649e-19,-2.74916e-18)
(-8.56122e-20,-1.87451e-19)	 	(-8.56122e-20,1.87451e-19)
(-1.81854e-17,7.26977e-17)	 	(-1.81854e-17,-7.26977e-17)
(8.29341e-51,-4.51931e-53)	 	(8.29341e-51,4.51931e-53)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(-1.86639e-17,-1.06227e-17)	 	(-1.86639e-17,1.06227e-17)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(-8.59979e-17,-4.3676e-17)	 	(-8.59979e-17,4.3676e-17)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(-5.72919e-17,1.21086e-16)	 	(-5.72919e-17,-1.21086e-16)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(9.78299e-17,-1.49749e-17)	 	(9.78299e-17,1.49749e-17)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(-4.10335e-17,-3.57054e-17)	 	(-4.10335e-17,3.57054e-17)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)

 
(-8.42448e-17,1.45383e-16)	 	(-8.42448e-17,-1.45383e-16)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(-1.29939e-17,-8.82565e-18)	 	(-1.29939e-17,8.82565e-18)
(-0.0278421,0.164149)	 	(-0.0278421,-0.164149)
(0.0689695,0.0109525)	 	(0.0689695,-0.0109525)
(0.0202526,-0.259801)	 	(0.0202526,0.259801)
(-3.8044e-17,4.76025e-17)	 	(-3.8044e-17,-4.76025e-17)
(0.0900263,0.168343)	 	(0.0900263,-0.168343)
(-0.152037,-0.23613)	 	(-0.152037,0.23613)
(0.279936,-0.284517)	 	(0.279936,0.284517)
(5.29261e-17,-9.20626e-17)	 	(5.29261e-17,9.20626e-17)
(0.62423,-0.0303129)	 	(0.62423,0.0303129)
(0.349303,-0.305351)	 	(0.349303,0.305351)
(-0.0203051,-0.136453)	 	(-0.0203051,0.136453)
(-1.61027e-16,-6.32043e-18)	 	(-1.61027e-16,6.32043e-18)
(-2.97508e-16,1.55762e-16)	 	(-2.97508e-16,-1.55762e-16)
(5.96084e-16,-4.74443e-16)	 	(5.96084e-16,4.74443e-16)
(-3.88311e-17,2.85774e-17)	 	(-3.88311e-17,-2.85774e-17)
(-1.34107e-16,7.63283e-17)	 	(-1.34107e-16,-7.63283e-17)
(6.8299e-17,-3.02333e-17)	 	(6.8299e-17,3.02333e-17)
(-1.16343e-18,-2.92578e-18)	 	(-1.16343e-18,2.92578e-18)
(5.96503e-19,-7.86134e-19)	 	(5.96503e-19,7.86134e-19)
(1.29027e-16,-7.36332e-17)	 	(1.29027e-16,7.36332e-17)
(5.36305e-50,1.27774e-50)	 	(5.36305e-50,-1.27774e-50)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(1.0742e-16,4.69802e-17)	 	(1.0742e-16,-4.69802e-17)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(1.52119e-18,-1.3002e-16)	 	(1.52119e-18,1.3002e-16)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(9.14644e-17,8.46914e-18)	 	(9.14644e-17,-8.46914e-18)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(2.93291e-17,-4.54495e-17)	 	(2.93291e-17,4.54495e-17)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(-2.61029e-17,-7.59168e-17)	 	(-2.61029e-17,7.59168e-17)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)

 
(4.96596e-17,2.70569e-18)	 	(4.96596e-17,-2.70569e-18)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(1.01994e-17,-3.40127e-17)	 	(1.01994e-17,3.40127e-17)
(0.170336,-0.0272485)	 	(0.170336,0.0272485)
(-0.00150778,0.017425)	 	(-0.00150778,-0.017425)
(0.023338,-0.0417121)	 	(0.023338,0.0417121)
(-4.58901e-17,1.23113e-17)	 	(-4.58901e-17,-1.23113e-17)
(0.00868113,0.0252241)	 	(0.00868113,-0.0252241)
(0.0258658,-0.103402)	 	(0.0258658,0.103402)
(-0.078955,0.121185)	 	(-0.078955,-0.121185)
(-2.60668e-17,1.50262e-16)	 	(-2.60668e-17,-1.50262e-16)
(-0.318898,-0.186495)	 	(-0.318898,0.186495)
(-0.165289,-0.114488)	 	(-0.165289,0.114488)
(-0.779057,0.388364)	 	(-0.779057,-0.388364)
(-2.79067e-17,7.34871e-17)	 	(-2.79067e-17,-7.34871e-17)
(1.06861e-15,-2.29763e-16)	 	(1.06861e-15,2.29763e-16)
(-1.45875e-15,7.06879e-16)	 	(-1.45875e-15,-7.06879e-16)
(1.66141e-16,1.0434e-16)	 	(1.66141e-16,-1.0434e-16)
(7.26455e-17,1.02833e-16)	 	(7.26455e-17,-1.02833e-16)
(-3.73582e-17,-3.61525e-16)	 	(-3.73582e-17,3.61525e-16)
(4.34931e-17,4.7109e-17)	 	(4.34931e-17,-4.7109e-17)
(-1.68694e-17,-1.35431e-17)	 	(-1.68694e-17,1.35431e-17)
(-1.52133e-17,-5.97779e-17)	 	(-1.52133e-17,5.97779e-17)
(2.13829e-48,-2.51581e-48)	 	(2.13829e-48,2.51581e-48)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(3.95028e-17,1.83256e-18)	 	(3.95028e-17,-1.83256e-18)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(-2.83729e-17,1.05139e-17)	 	(-2.83729e-17,-1.05139e-17)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(3.57543e-17,-6.19059e-17)	 	(3.57543e-17,6.19059e-17)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(-3.96551e-17,-8.69904e-17)	 	(-3.96551e-17,8.69904e-17)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(-6.7657e-17,-1.81042e-17)	 	(-6.7657e-17,1.81042e-17)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)

 
(3.01436e-17,-3.16955e-17)	 	(3.01436e-17,3.16955e-17)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(-1.40195e-17,1.20269e-17)	 	(-1.40195e-17,-1.20269e-17)
(1.46256e-15,-3.78699e-15)	 	(1.46256e-15,3.78699e-15)
(-1.07951e-15,9.31513e-16)	 	(-1.07951e-15,-9.31513e-16)
(-1.35809e-15,-1.00769e-15)	 	(-1.35809e-15,1.00769e-15)
(1.77132e-17,-7.08901e-18)	 	(1.77132e-17,7.08901e-18)
(7.83516e-17,2.95995e-16)	 	(7.83516e-17,-2.95995e-16)
(-2.30702e-15,-2.08938e-16)	 	(-2.30702e-15,2.08938e-16)
(1.6715e-15,4.20813e-15)	 	(1.6715e-15,-4.20813e-15)
(-7.64812e-18,-1.29909e-16)	 	(-7.64812e-18,1.29909e-16)
(-6.75129e-15,2.75101e-15)	 	(-6.75129e-15,-2.75101e-15)
(-1.20139e-15,2.54207e-15)	 	(-1.20139e-15,-2.54207e-15)
(0.843917,-0.53021)	 	(0.843917,0.53021)
(3.49315e-17,-1.92688e-17)	 	(3.49315e-17,1.92688e-17)
(-0.0131634,-0.000222157)	 	(-0.0131634,0.000222157)
(0.0660842,-0.0430519)	 	(0.0660842,0.0430519)
(-0.00303225,-0.0044329)	 	(-0.00303225,0.0044329)
(-5.54463e-17,-9.76516e-17)	 	(-5.54463e-17,9.76516e-17)
(-0.00923178,0.0121426)	 	(-0.00923178,-0.0121426)
(0.00127456,-0.0047031)	 	(0.00127456,0.0047031)
(0.00121622,0.000326862)	 	(0.00121622,-0.000326862)
(-2.0616e-17,3.59914e-17)	 	(-2.0616e-17,-3.59914e-17)
(3.76786e-19,-7.08361e-20)	 	(3.76786e-19,7.08361e-20)
(3.22527e-21,-3.94847e-22)	 	(3.22527e-21,3.94847e-22)
(7.72838e-23,-4.01682e-23)	 	(7.72838e-23,4.01682e-23)
(-6.06682e-17,-2.72874e-18)	 	(-6.06682e-17,2.72874e-18)
(1.36799e-27,3.19497e-27)	 	(1.36799e-27,-3.19497e-27)
(3.69501e-32,6.18092e-32)	 	(3.69501e-32,-6.18092e-32)
(1.22743e-63,-1.44947e-64)	 	(1.22743e-63,1.44947e-64)
(2.61951e-17,3.47105e-18)	 	(2.61951e-17,-3.47105e-18)
(-2.29534e-114,2.735e-114)	 	(-2.29534e-114,-2.735e-114)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(-4.06091e-17,5.25101e-18)	 	(-4.06091e-17,-5.25101e-18)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(9.29918e-18,9.5048e-17)	 	(9.29918e-18,-9.5048e-17)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(7.61783e-17,3.65659e-17)	 	(7.61783e-17,-3.65659e-17)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)

 
(-2.76342e-19,-2.57925e-18)	 	(-2.76342e-19,2.57925e-18)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(0,-0)	 	(0,0)
(5.79434e-21,1.09542e-18)	 	(5.79434e-21,-1.09542e-18)
(-1.8659e-16,-4.12951e-16)	 	(-1.8659e-16,4.12951e-16)
(5.69077e-17,1.20162e-16)	 	(5.69077e-17,-1.20162e-16)
(-3.74026e-16,-6.76969e-18)	 	(-3.74026e-16,6.76969e-18)
(3.59217e-19,-1.07294e-18)	 	(3.59217e-19,1.07294e-18)
(4.14644e-17,1.18999e-16)	 	(4.14644e-17,-1.18999e-16)
(-4.56954e-16,2.53864e-16)	 	(-4.56954e-16,-2.53864e-16)
(4.63724e-16,1.6078e-16)	 	(4.63724e-16,-1.6078e-16)
(-6.16729e-18,-4.63944e-18)	 	(-6.16729e-18,4.63944e-18)
